Model,Spearman_rho (Mean +/- SD),Pearson_r (Mean +/- SD),MAE (Mean +/- SD),RMSE (Mean +/- SD),R2 (Mean +/- SD),Spearman_rho_Mean,Spearman_rho_SD,Pearson_r_Mean,Pearson_r_SD,MAE_Mean,MAE_SD,RMSE_Mean,RMSE_SD,R2_Mean,R2_SD
PyTorch 1D-CNN,0.5859 +/- 0.0270,0.5899 +/- 0.0267,0.1830 +/- 0.0063,0.2372 +/- 0.0053,0.3176 +/- 0.0364,0.5859272922997412,0.02695225582079381,0.58986409576069,0.026671533754786248,0.18298563329961587,0.006294526852966446,0.23718905751562952,0.0052679812375496194,0.3176481725571248,0.03641784843657235
XGBoost (105-Feat),0.5630 +/- 0.0172,0.5672 +/- 0.0163,0.1952 +/- 0.0041,0.2373 +/- 0.0037,0.3174 +/- 0.0165,0.5629919777235556,0.017239424849042107,0.5671547887257748,0.016329984546161358,0.19520954120258477,0.004121311856324709,0.23733452836066396,0.0036657546650082765,0.31737872265610273,0.016508338068127314
Hybrid (CNN+XGB),0.6091 +/- 0.0173,0.6175 +/- 0.0168,0.1719 +/- 0.0040,0.2306 +/- 0.0040,0.3555 +/- 0.0255,0.6091325326336324,0.017253564978928142,0.6174827439537042,0.016805279748491022,0.17192404606692055,0.0039984193327090665,0.2305738085004206,0.004040915089729603,0.355463021910391,0.02551073140712159
Doench 2016 RuleSet2,0.7144 +/- 0.0210,0.7123 +/- 0.0175,0.1752 +/- 0.0033,0.2106 +/- 0.0035,0.4624 +/- 0.0187,0.7143831435987772,0.021006465763157036,0.7123277728806205,0.017515956684445364,0.17521223697998595,0.0033338216300317735,0.21058503618436372,0.003540388846162805,0.46244474395311824,0.018687668378038938
