cancer_type,gene,mean_expr,cancer_relevance_score
Breast,BRCA1,1304.2071486596262,0.0
Breast,ERBB2,46982.49309504468,1.0
Breast,TP53,4935.74492282697,0.07950249662235281
Lung,EGFR,15359.374225046038,1.0
Lung,KRAS,3723.3472400684504,0.2391531895028224
Lung,ALK,65.85281648024349,0.0
Liver,CTNNB1,10760.091981132076,1.0
Liver,AXIN1,1225.5990566037735,0.09166986472871595
Liver,TERT,263.36556603773585,0.0
